filename,leaf-dim-unit,leaf-height,leaf-width,writtenHeight,writtenWidth,LeafDivWritten
collections\Arch_Selden\MS_Arch_Selden_B_15.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_16.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_17.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_18.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_20.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_21.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_22.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_23.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_24.xml,mm,260,175,,,
collections\Arch_Selden\MS_Arch_Selden_B_25.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_26.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_27.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_28.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_29.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_30.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_31.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_32.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_33.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_34.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_35.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_36.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_37.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_38.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_39.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_40.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_41.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_42.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_43.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_44.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_45.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_46.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_49.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_50.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_51.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_52.xml,,,,,,
collections\Arch_Selden\MS_Arch_Selden_B_53.xml,,,,,,
